"Node ID","Shell index","Degree","Betweenness centrality","Closeness centrality","Eigenvector centrality"
"0","8.0","12.0","209.26776269346658","0.42379182156133827","0.008695652173913044"
"1","8.0","12.0","113.49758677249376","0.41304347826086957","0.008695652173913044"
"2","8.0","12.0","84.52200352114953","0.40714285714285714","0.008695652173913044"
"3","8.0","12.0","148.59450673694258","0.4206642066420664","0.008695652173913044"
"4","8.0","11.0","68.68598312364388","0.40282685512367494","0.008695652173913044"
"5","8.0","12.0","68.66738559411388","0.38383838383838387","0.008695652173913044"
"6","8.0","12.0","126.76715262046372","0.42537313432835816","0.008695652173913044"
"7","8.0","12.0","93.80051474132915","0.4014084507042253","0.008695652173913044"
"8","8.0","11.0","32.260707768882","0.36075949367088606","0.008695652173913044"
"9","8.0","11.0","76.20444268829692","0.397212543554007","0.008695652173913044"
"10","8.0","10.0","44.494373158686315","0.38127090301003347","0.008695652173913044"
"11","8.0","10.0","73.42964481984194","0.40282685512367494","0.008695652173913044"
"12","8.0","10.0","65.33836570266206","0.3904109589041096","0.008695652173913044"
"13","8.0","11.0","111.3736718523381","0.4206642066420664","0.008695652173913044"
"14","8.0","10.0","45.566518652189885","0.38513513513513514","0.008695652173913044"
"15","8.0","12.0","134.58640732508132","0.42379182156133827","0.008695652173913044"
"16","8.0","11.0","143.0768148809149","0.42379182156133827","0.008695652173913044"
"17","8.0","11.0","106.93346012577992","0.41155234657039713","0.008695652173913044"
"18","8.0","11.0","54.703065933313475","0.37999999999999995","0.008695652173913044"
"19","8.0","11.0","62.85973333110556","0.3904109589041096","0.008695652173913044"
"20","8.0","11.0","148.4413582668462","0.40282685512367494","0.008695652173913044"
"21","8.0","11.0","142.51876502328818","0.397212543554007","0.008695652173913044"
"22","8.0","11.0","43.36419870360753","0.36774193548387096","0.008695652173913044"
"23","8.0","11.0","48.88291112453288","0.38513513513513514","0.008695652173913044"
"24","8.0","10.0","133.33014685205086","0.42379182156133827","0.008695652173913044"
"25","8.0","11.0","114.5420577132141","0.41304347826086957","0.008695652173913044"
"26","8.0","10.0","109.5187060842041","0.39860139860139865","0.008695652173913044"
"27","8.0","11.0","68.6627428093362","0.3825503355704698","0.008695652173913044"
"28","8.0","9.0","117.04622734021403","0.40860215053763443","0.008695652173913044"
"29","8.0","11.0","58.153965061346646","0.4","0.008695652173913044"
"30","8.0","11.0","97.17305504397814","0.41007194244604317","0.008695652173913044"
"31","8.0","11.0","54.217521157968676","0.3787375415282392","0.008695652173913044"
"32","8.0","11.0","95.82182022157916","0.41007194244604317","0.008695652173913044"
"33","8.0","10.0","47.36903652261131","0.3877551020408163","0.008695652173913044"
"34","8.0","11.0","51.69498277446326","0.37623762376237624","0.008695652173913044"
"35","8.0","11.0","99.67802993490533","0.397212543554007","0.008695652173913044"
"36","8.0","8.0","85.06000554725865","0.4014084507042253","0.008695652173913044"
"37","8.0","11.0","58.81080990176125","0.3944636678200692","0.008695652173913044"
"38","8.0","11.0","162.22819149436611","0.40425531914893614","0.008695652173913044"
"39","8.0","11.0","68.94174241088346","0.40714285714285714","0.008695652173913044"
"40","8.0","11.0","90.06245471638238","0.39860139860139865","0.008695652173913044"
"41","8.0","10.0","41.470758910964285","0.39583333333333337","0.008695652173913044"
"42","7.0","7.0","50.17219973786619","0.37012987012987014","0.008695652173913044"
"43","8.0","11.0","87.56826068655607","0.39583333333333337","0.008695652173913044"
"44","8.0","11.0","92.57296029531928","0.4","0.008695652173913044"
"45","8.0","11.0","73.70550502533958","0.397212543554007","0.008695652173913044"
"46","9.0","11.0","66.68143595265654","0.3931034482758621","0.008695652173913044"
"47","8.0","11.0","97.27411259265922","0.40569395017793597","0.008695652173913044"
"48","8.0","11.0","114.58185502790242","0.41007194244604317","0.008695652173913044"
